name,symbol,quote,category,market_cap,price,volume_24h,circulating_supply
Bitcoin,BTC,58685.37765536465,mineable,1159309799924.0813,58685.37765536465,19970310074.395542,19754662
Ethereum,ETH,2293.3378852423343,pos,275974255312.23706,2293.3378852423343,11161265570.558672,120337372.47709365
Tether USDt,USDT,1.0000947279730685,stablecoin,118821792472.778,1.0000947279730685,35990127740.27936,118810537791.35384
BNB,BNB,548.9806666585661,marketplace,80114952651.25952,548.9806666585661,1604405858.007593,145934014.65098652
Solana,SOL,130.5713877514604,pos,61137160951.43619,130.5713877514604,1434346743.1727984,468227856.07371616
USDC,USDC,0.9999844456817097,medium-of-exchange,35715473153.829796,0.9999844456817097,3652661601.1701527,35716028692.30814
XRP,XRP,0.5661796162899763,medium-of-exchange,31924616636.38885,0.5661796162899763,822170307.1371754,56386022594
Dogecoin,DOGE,0.10190145745533645,mineable,14874931392.627764,0.10190145745533645,448390682.65473205,145973686383.70523
Toncoin,TON,5.510338627303661,pos,13957842031.354342,5.510338627303661,231269759.38100007,2533027999.8026624
TRON,TRX,0.14838923217090555,media,12864628026.46457,0.14838923217090555,232950919.99518546,86695158659.81357
Cardano,ADA,0.33483902337496946,dpos,12041026596.825682,0.33483902337496946,202391638.83248973,35960643044.11
Avalanche,AVAX,23.645892231789116,defi,9595759304.351324,23.645892231789116,196593634.88654467,405810836.41457844
Shiba Inu,SHIB,1.32114073804689e-05,memes,7785079997.71647,1.32114073804689e-05,119895360.97114299,589269543623759
Chainlink,LINK,10.692128754122791,platform,6501883179.45946,10.692128754122791,146226367.11436126,608099970.4527867
Polkadot,DOT,4.342793216779973,substrate,6487650549.264828,4.342793216779973,95398151.00871834,1493888892.5674407
Bitcoin Cash,BCH,313.52650808281516,mineable,6195715878.435379,313.52650808281516,199829485.52601892,19761378.125
UNUS SED LEO,LEO,5.878368979218757,marketplace,5440213948.201035,5.878368979218757,1575925.64450266,925463162.9
Dai,DAI,0.9997851982970761,defi,5364230209.323502,0.9997851982970761,41673947.83695903,5365382702.664872
Litecoin,LTC,62.869691934677185,mineable,4713890905.1360445,62.869691934677185,209906436.56243908,74978749.8566697
NEAR Protocol,NEAR,3.9841848875948433,platform,4502029354.217648,3.9841848875948433,147154414.21924222,1129975009
Kaspa,KAS,0.16940926876984694,mineable,4185554236.3851757,0.16940926876984694,92678312.83154918,24706760537.82814
Uniswap,UNI,6.494094276888029,decentralized-exchange-dex-token,3897821298.1618185,6.494094276888029,68226644.77216671,600210149.71
Internet Computer,ICP,8.164122649843133,platform,3840312082.2817225,8.164122649843133,65906914.47574821,470388827.678319
Artificial Superintelligence Alliance,FET,1.309132886724194,cosmos-ecosystem,3299014874.544969,1.309132886724194,176990056.30579308,2520000000
Monero,XMR,170.67976333769255,mineable,3148485912.851729,170.67976333769255,43735946.32595824,18446744.07370955
Pepe,PEPE,7.263539155071302e-06,memes,3055697560.792993,7.263539155071302e-06,340676763.1714609,420689899999994.8
Aptos,APT,5.831956296862121,binance-labs-portfolio,2912934694.3676963,5.831956296862121,68435078.3139871,499478141.8260968
Sui,SUI,1.0719892523554764,binance-launchpool,2872892336.309811,1.0719892523554764,477437789.5834044,2679963749.6338882
Stellar,XLM,0.09447872803543239,medium-of-exchange,2797686038.348981,0.09447872803543239,36255225.37737694,29611808885.697144
POL (ex-MATIC),POL,0.3826156259154679,Desconocida,2722301237.686087,0.3826156259154679,53916653.58828443,7114976632.678173
Ethereum Classic,ETC,17.694351819167053,mineable,2632138601.6858053,17.694351819167053,82770651.80216819,148755864.50330403
Render,RENDER,4.884092838116647,art,2527325764.0990844,4.884092838116647,162539105.2896528,517460631.4554916
First Digital USD,FDUSD,1.0017103977012383,stablecoin,2520265744.537718,1.0017103977012383,2916764676.655641,2515962448.15
OKB,OKB,38.350912830031916,marketplace,2301054769.801915,38.350912830031916,2721273.79836945,60000000
Stacks,STX,1.5159278908942924,mineable,2257760612.6509247,1.5159278908942924,47464239.4997192,1489358844.97712
Bittensor,TAO,297.58537052077827,ai-big-data,2196458574.350151,297.58537052077827,68993165.56473702,7380936
Cronos,CRO,0.07998862565713191,medium-of-exchange,2125422621.6381035,0.07998862565713191,4059157.61741385,26571560696
Aave,AAVE,140.43811755692312,defi,2096913766.0131068,140.43811755692312,265030671.56832162,14931229.51582696
Immutable,IMX,1.26968551410933,collectibles-nfts,2038225433.8435912,1.26968551410933,27500133.7047534,1605299431.3898141
Filecoin,FIL,3.4466548108265975,mineable,2020060106.3889813,3.4466548108265975,77906072.3698545,586092956
Hedera,HBAR,0.04975841910830847,dag,1839527736.984681,0.04975841910830847,21040745.00379627,36969175668.153885
Injective,INJ,18.49469236320212,pos,1806890380.30434,18.49469236320212,80725084.16152088,97697779.71
Mantle,MNT,0.5527047996184771,ethereum-ecosystem,1805599091.5152445,0.5527047996184771,55858844.8503586,3266841707.8368406
Arbitrum,ARB,0.5060203324268293,scaling,1769112468.5934904,0.5060203324268293,122495423.97235937,3496129217
Optimism,OP,1.459785433554723,layer-2,1733636022.0078666,1.459785433554723,95193064.5968446,1187596466
VeChain,VET,0.021296451432133198,logistics,1724693996.1552877,0.021296451432133198,11563358.7341044,80985041177
Cosmos,ATOM,4.021922336612403,platform,1572307007.2133899,4.021922336612403,68348144.12588322,390934204
dogwifhat,WIF,1.4866423383770628,memes,1484926037.6552255,1.4866423383770628,164348472.99944863,998845518.73875
Maker,MKR,1527.411422977831,store-of-value,1425530306.211883,1527.411422977831,35807985.726547,933298.18329673
Fantom,FTM,0.4974618531826199,platform,1394701380.9284084,0.4974618531826199,185018469.3739636,2803634835.5265927
The Graph,GRT,0.1407584459120392,ai-big-data,1344036455.9722705,0.1407584459120392,28494513.67167933,9548531509.165474
Bitget Token,BGB,0.9345293163962813,centralized-exchange,1308341042.954794,0.9345293163962813,20634277.7801251,1400000000
THORChain,RUNE,3.8846294743734813,cosmos-ecosystem,1303264601.664001,3.8846294743734813,101137804.9755519,335492641
Theta Network,THETA,1.299070921249545,media,1299070921.249545,1.299070921249545,18994432.7327254,1000000000
Arweave,AR,18.8942856230376,distributed-computing,1240456444.460765,18.8942856230376,42486840.54922356,65652466
Polygon,MATIC,0.38175894570315655,pos,1199217039.4167242,0.38175894570315655,41623934.80831171,3141293879.0678577
Helium,HNT,7.3282389514544874,mineable,1178933679.1086504,7.3282389514544874,17037545.8018472,160875441.82421333
Bonk,BONK,1.6354030443238323e-05,memes,1151311041.246185,1.6354030443238323e-05,62601722.03688308,70399223313308.8
